artifact_name,path,exists,nonempty,size_bytes,sha256
FD004_system_bundle,artifacts/systems/FD004_system.joblib,True,True,30456115,34cf7f8ebba2399a997dceea376aeed21bc8564e823297ec0902dc09699d865a
condition_aware_regression_bundle,artifacts/systems/FD004_condition_aware_regression.joblib,True,True,13723840,1fe990fcb5f7208b8843301709566ffaff8208ed017b4e569c6be998b3bcb82e
dashboard_prediction_data,artifacts/demo/FD004_predictions.csv.gz,True,True,3863688,16fcc86bae46155042ed78ae1cb1cf5b9d0babe0a43fd04d974cd82d01f1b6ec
FD004_summary,artifacts/results/FD004_summary.json,True,True,32725,473d4d2efe9fec840f23dbac03d09140ce1c50efcbd17ca7db51f1999e9e2efc
FD004_bonus_summary,artifacts/results/FD004_bonus_summary.json,True,True,7266,e0c309d9058f3a43e5c104df955904b49ba4d875334aa3858a90397eaad1e99d
normalization_ablation,artifacts/results/FD004_normalization_ablation.csv,True,True,417,5fcd2889233ebf07c6f25fbdd4fbb1753c46dca9bfc555686d3f665b9bffa481
transfer_comparison,artifacts/results/FD004_transfer_comparison.csv,True,True,506,3ff4a60d2bdad1faaf79ce50ce87c5940e16aa93f13085d567a209b756f46181
regime_metrics,artifacts/results/FD004_regime_metrics.csv,True,True,553,cbed4f0b4dfb8f4835a1e4ad23285d56b5401eb917723180ce5cb13b0d8ff544
anomaly_regime_stability,artifacts/results/FD004_anomaly_regime_stability.csv,True,True,471,0f9b052c2c973043c336966d1dc501a3d38d1258e8d06bdf8e4e9b9bab848a87
lead_times,artifacts/results/FD004_lead_times.csv,True,True,5738,22bf9506b08f10d5f0f4ebd91474d3f1b2e9fc243701e63f25262aa5d16be45f
bonus_comparison_figure,figures/FD004_bonus_comparison.png,True,True,91907,a75956dabeeee8af1b24ec664f8666ba96c423fa5e7b1b88e6efd240496da834
condition_features_dependency,src/condition_features.py,True,True,3381,005911761b69f02239620f9074f77410a5880680b9909ebf243738015fee447d
dashboard_app,app/app.py,True,True,5509,0b1d3d76d48a5953e5511a3a2f9145f2363c2f635f6d9abe0619df426c59e8e5
technical_report_markdown,report/technical_report.md,True,True,16485,4b94caf1edd8aad185806067e9608327d7e850b35d25fb6dc302b2e8854f849b
main_notebook,notebooks/02_complete_capstone.ipynb,True,True,8217525,176db45d303fe16616b0afca6fe9c02216254b0718f827a1c744b3becc8c3ac1
